IndUserID,IndPassword,IndiaVFList
testinactivein@mailinator.com,copart1234,All Over
india1947@mailinator.com,copart123,Front End
indiario@mailinator.com,copart123,Rear End
indiastg02@mailinator.com,copart123,Aston Martin
indiastg01@mailinator.com,copart123,Audi
stageindia@mailinator.com,copart1234,BMW
stg_in45@mailinator.com,copart1234,Bugatti
qastgind2@mailinator.com,copart123,Chevrolet
qastgind1@mailinator.com,copart1122,Ferrari
india02@mailinator.com,copart123,FIAT
testinactivein@mailinator.com,copart1234,Ford
india1947@mailinator.com,copart123,Honda
indiario@mailinator.com,copart123,Jaguar
indiastg02@mailinator.com,copart123,Tata
indiastg01@mailinator.com,copart123,Volvo
stageindia@mailinator.com,copart1234,All Over
stg_in45@mailinator.com,copart1234,Front End
qastgind2@mailinator.com,copart123,Rear End
qastgind1@mailinator.com,copart1122,Aston Martin
india02@mailinator.com,copart123,Audi
testinactivein@mailinator.com,copart1234,BMW
india1947@mailinator.com,copart123,Bugatti
indiario@mailinator.com,copart123,Chevrolet
indiastg02@mailinator.com,copart123,Ferrari
indiastg01@mailinator.com,copart123,FIAT
stageindia@mailinator.com,copart1234,Ford
stg_in45@mailinator.com,copart1234,Honda
qastgind2@mailinator.com,copart123,Jaguar
qastgind1@mailinator.com,copart1122,Tata
india02@mailinator.com,copart123,Volvo
testinactivein@mailinator.com,copart1234,All Over
india1947@mailinator.com,copart123,Front End
indiario@mailinator.com,copart123,Rear End
indiastg02@mailinator.com,copart123,Aston Martin
indiastg01@mailinator.com,copart123,Audi
stageindia@mailinator.com,copart1234,BMW
stg_in45@mailinator.com,copart1234,Bugatti
qastgind2@mailinator.com,copart123,Chevrolet
qastgind1@mailinator.com,copart1122,Ferrari
india02@mailinator.com,copart123,FIAT
testinactivein@mailinator.com,copart1234,Ford
india1947@mailinator.com,copart123,Honda
indiario@mailinator.com,copart123,Jaguar
indiastg02@mailinator.com,copart123,Tata
indiastg01@mailinator.com,copart123,Volvo
stageindia@mailinator.com,copart1234,All Over
stg_in45@mailinator.com,copart1234,Front End
qastgind2@mailinator.com,copart123,Rear End
qastgind1@mailinator.com,copart1122,Aston Martin
india02@mailinator.com,copart123,Audi
testinactivein@mailinator.com,copart1234,BMW
india1947@mailinator.com,copart123,Bugatti
indiario@mailinator.com,copart123,Chevrolet
indiastg02@mailinator.com,copart123,Ferrari
indiastg01@mailinator.com,copart123,FIAT
stageindia@mailinator.com,copart1234,Ford
stg_in45@mailinator.com,copart1234,Honda
qastgind2@mailinator.com,copart123,Jaguar
qastgind1@mailinator.com,copart1122,Tata
india02@mailinator.com,copart123,Volvo
testinactivein@mailinator.com,copart1234,All Over
india1947@mailinator.com,copart123,Front End
indiario@mailinator.com,copart123,Rear End
indiastg02@mailinator.com,copart123,Aston Martin
indiastg01@mailinator.com,copart123,Audi
stageindia@mailinator.com,copart1234,BMW
stg_in45@mailinator.com,copart1234,Bugatti
qastgind2@mailinator.com,copart123,Chevrolet
qastgind1@mailinator.com,copart1122,Ferrari
india02@mailinator.com,copart123,FIAT
testinactivein@mailinator.com,copart1234,Ford
india1947@mailinator.com,copart123,Honda
indiario@mailinator.com,copart123,Jaguar
indiastg02@mailinator.com,copart123,Tata
indiastg01@mailinator.com,copart123,Volvo
stageindia@mailinator.com,copart1234,All Over
stg_in45@mailinator.com,copart1234,Front End
qastgind2@mailinator.com,copart123,Rear End
