SPEmailID,SPConfEmailID
Spain001@mailinator.com,Spain001@mailinator.com
Spain002@mailinator.com,Spain002@mailinator.com
Spain003@mailinator.com,Spain003@mailinator.com
Spain004@mailinator.com,Spain004@mailinator.com
Spain005@mailinator.com,Spain005@mailinator.com
Spain006@mailinator.com,Spain006@mailinator.com
Spain007@mailinator.com,Spain007@mailinator.com
Spain008@mailinator.com,Spain008@mailinator.com
Spain009@mailinator.com,Spain009@mailinator.com
Spain010@mailinator.com,Spain010@mailinator.com
