UserID,Password,VehicleFinder
110588,copart1,Automobiles
474758,copart1,Motorcycles
483572,copart1,All Over
483599,copart1,Front End
483581,copart1,Rear End
483621,copart1,Salvage Title
483628,copart1,Boats
483659,copart1,Jet Skis
483648,copart1,Buy It Now
483665,copart1,Run and Drive
483687,copart1,ATVs
483701,copart1,Trailers
483706,copart1,Acura
483709,copart1,Audi
483722,copart1,BMW
483726,copart1,Chevrolet
483765,copart1,Chrysler
483805,copart1,Dodge
483816,copart1,Ford
483819,copart2,GMC
483825,copart1,Harley
110588,copart1,Honda
474758,copart1,Hyundai
483572,copart1,Infiniti
483599,copart1,Jeep
483581,copart1,Kia
483621,copart1,Lexus
483628,copart1,Mazda
483659,copart1,Mitsubishi
483648,copart1,Nissan
483665,copart1,Pontiac
483687,copart1,Subaru
483701,copart1,Suzuki
483706,copart1,Toyota
483709,copart1,Volkswagen
483722,copart1,Harley-Davidson
483726,copart1,Kawasaki
483765,copart1,Yamaha
483805,copart1,Polaris
483816,copart1,Ski-Doo
483819,copart2,Automobiles
483825,copart1,Motorcycles
110588,copart1,All Over
474758,copart1,Front End
483572,copart1,Rear End
483599,copart1,Salvage Title
483581,copart1,Boats
483621,copart1,Jet Skis
483628,copart1,Buy It Now
483659,copart1,Run and Drive
483648,copart1,ATVs
483665,copart1,Trailers
483687,copart1,Acura
483701,copart1,Audi
483706,copart1,BMW
483709,copart1,Chevrolet
483722,copart1,Chrysler
483726,copart1,Dodge
483765,copart1,Ford
483805,copart1,GMC
483816,copart1,Harley
483819,copart2,Honda
483825,copart1,Hyundai
110588,copart1,Infiniti
474758,copart1,Jeep
483572,copart1,Kia
483599,copart1,Lexus
483581,copart1,Mazda
483621,copart1,Mitsubishi
483628,copart1,Nissan
483659,copart1,Pontiac
483648,copart1,Subaru
483665,copart1,Suzuki
483687,copart1,Toyota
483701,copart1,Volkswagen
483706,copart1,Harley-Davidson
483709,copart1,Kawasaki
483722,copart1,Yamaha
483726,copart1,Polaris
483765,copart1,Ski-Doo
483805,copart1,Automobiles
483816,copart1,Motorcycles
483819,copart2,All Over
483825,copart1,Front End
110588,copart1,Rear End
474758,copart1,Salvage Title
483572,copart1,Boats
483599,copart1,Jet Skis
483581,copart1,Buy It Now
483621,copart1,Run and Drive
483628,copart1,ATVs
483659,copart1,Trailers
483648,copart1,Acura
483665,copart1,Audi
483687,copart1,BMW
483701,copart1,Chevrolet
483706,copart1,Chrysler
483709,copart1,Dodge
483722,copart1,Ford
483726,copart1,GMC
483765,copart1,Harley
483805,copart1,Honda
483816,copart1,Hyundai
483819,copart2,Infiniti
483825,copart1,Jeep
110588,copart1,Kia
474758,copart1,Lexus
483572,copart1,Mazda
483599,copart1,Mitsubishi
483581,copart1,Nissan
483621,copart1,Pontiac
483628,copart1,Subaru
483659,copart1,Suzuki
483648,copart1,Toyota
483665,copart1,Volkswagen
483687,copart1,Harley-Davidson
483701,copart1,Kawasaki
483706,copart1,Yamaha
483709,copart1,Polaris
483722,copart1,Ski-Doo
483726,copart1,Automobiles
483765,copart1,Motorcycles
483805,copart1,All Over
483816,copart1,Front End
483819,copart2,Rear End
483825,copart1,Salvage Title
110588,copart1,Boats
474758,copart1,Jet Skis
483572,copart1,Buy It Now
483599,copart1,Run and Drive
483581,copart1,ATVs
483621,copart1,Trailers
483628,copart1,Acura
483659,copart1,Audi
483648,copart1,BMW
483665,copart1,Chevrolet
483687,copart1,Chrysler
483701,copart1,Dodge
483706,copart1,Ford
483709,copart1,GMC
483722,copart1,Harley
483726,copart1,Honda
483765,copart1,Hyundai
483805,copart1,Infiniti
