UserID,Password,VehicleFinder
110588,copart1,Automobiles
474758,copart1,Motorcycles
483572,copart1,All Over
483599,copart1,Front End
483581,copart1,Rear End
483621,copart1,Salvage Title
483628,copart1,Boats
483659,copart1,Jet Skis
483648,copart1,Buy It Now
483665,copart1,Run and Drive
483687,copart1,ATVs
483701,copart1,Trailers
483706,copart1,BMW
483709,copart1,Chevrolet
483722,copart1,Ford
483726,copart1,Honda
483765,copart1,Kia
483805,copart1,Suzuki
483816,copart1,Harley-Davidson
483819,copart2,Kawasaki
483825,copart1,Yamaha
110588,copart1,Polaris
474758,copart1,Ski-Doo
483572,copart1,Automobiles
483599,copart1,Motorcycles
483581,copart1,All Over
483621,copart1,Front End
483628,copart1,Rear End
483659,copart1,Salvage Title
483648,copart1,Boats
483665,copart1,Jet Skis
483687,copart1,Buy It Now
483701,copart1,Run and Drive
483706,copart1,ATVs
483709,copart1,Trailers
483722,copart1,BMW
483726,copart1,Chevrolet
483765,copart1,Ford
483805,copart1,Honda
483816,copart1,Kia
483819,copart2,Suzuki
483825,copart1,Harley-Davidson
110588,copart1,Kawasaki
474758,copart1,Yamaha
483572,copart1,Polaris
483599,copart1,Ski-Doo
483581,copart1,Automobiles
483621,copart1,Motorcycles
483628,copart1,All Over
483659,copart1,Front End
483648,copart1,Rear End
483665,copart1,Salvage Title
483687,copart1,Boats
483701,copart1,Jet Skis
483706,copart1,Buy It Now
483709,copart1,Run and Drive
483722,copart1,ATVs
483726,copart1,Trailers
483765,copart1,BMW
483805,copart1,Chevrolet
483816,copart1,Ford
483819,copart2,Honda
483825,copart1,Kia
110588,copart1,Suzuki
474758,copart1,Harley-Davidson
483572,copart1,Kawasaki
483599,copart1,Yamaha
483581,copart1,Polaris
483621,copart1,Ski-Doo
483628,copart1,Automobiles
483659,copart1,Motorcycles
483648,copart1,All Over
483665,copart1,Front End
483687,copart1,Rear End
483701,copart1,Salvage Title
483706,copart1,Boats
483709,copart1,Jet Skis
483722,copart1,Buy It Now
483726,copart1,Run and Drive
483765,copart1,ATVs
483805,copart1,Trailers
483816,copart1,BMW
483819,copart2,Chevrolet
483825,copart1,Ford
110588,copart1,Honda
474758,copart1,Kia
483572,copart1,Suzuki
483599,copart1,Harley-Davidson
483581,copart1,Kawasaki
483621,copart1,Yamaha
483628,copart1,Polaris
483659,copart1,Ski-Doo
483648,copart1,Automobiles
483665,copart1,Motorcycles
483687,copart1,All Over
483701,copart1,Front End
483706,copart1,Rear End
483709,copart1,Salvage Title
483722,copart1,Boats
483726,copart1,Jet Skis
483765,copart1,Buy It Now
483805,copart1,Run and Drive
483816,copart1,ATVs
483819,copart2,Trailers
483825,copart1,BMW
110588,copart1,Chevrolet
474758,copart1,Ford
483572,copart1,Honda
483599,copart1,Kia
483581,copart1,Suzuki
483621,copart1,Harley-Davidson
483628,copart1,Kawasaki
483659,copart1,Yamaha
483648,copart1,Polaris
483665,copart1,Ski-Doo
483687,copart1,Automobiles
483701,copart1,Motorcycles
483706,copart1,All Over
483709,copart1,Front End
483722,copart1,Rear End
483726,copart1,Salvage Title
483765,copart1,Boats
483805,copart1,Jet Skis
483816,copart1,Buy It Now
483819,copart2,Run and Drive
483825,copart1,ATVs
110588,copart1,Trailers
474758,copart1,BMW
483572,copart1,Chevrolet
483599,copart1,Ford
483581,copart1,Honda
483621,copart1,Kia
483628,copart1,Suzuki
483659,copart1,Harley-Davidson
483648,copart1,Kawasaki
483665,copart1,Yamaha
483687,copart1,Polaris
483701,copart1,Ski-Doo
483706,copart1,Automobiles
483709,copart1,Motorcycles
483722,copart1,All Over
