UserID,Password,VehicleFinder
110588,copart1,Automobiles
474758,copart1,Motorcycles
483572  ,copart1,All Over
483599    ,copart1,Front End
483581    ,copart1,Rear End
483621    ,copart1,Salvage Title
483628    ,copart1,Boats
483659    ,copart1,Jet Skis
483648    ,copart1,Buy It Now
483665    ,copart1,Run and Drive
483687    ,copart1,ATVs
483701    ,copart1,Trailers
483706    ,copart1,BMW
483709    ,copart1,Chevrolet
483722    ,copart1,Ford
483726    ,copart1,Honda
483765    ,copart1,Kia
483805    ,copart1,Suzuki
483816    ,copart1,Harley-Davidson
483819    ,copart1,Kawasaki
483825    ,copart1,Yamaha
483628    ,copart1,Polaris
483659    ,copart1,Ski-Doo
110588,copart1,Automobiles
474758,copart1,Motorcycles
483572  ,copart1,All Over
483599    ,copart1,Front End
483581    ,copart1,Rear End
483621    ,copart1,Salvage Title
483628    ,copart1,Boats
483659    ,copart1,Jet Skis
483648    ,copart1,Buy It Now
483665    ,copart1,Run and Drive
483687    ,copart1,ATVs
483701    ,copart1,Trailers
483706    ,copart1,BMW
483709    ,copart1,Chevrolet
483722    ,copart1,Ford
483726    ,copart1,Honda
483765    ,copart1,Kia
483805    ,copart1,Suzuki
483816    ,copart1,Harley-Davidson
483819    ,copart1,Kawasaki
483825    ,copart1,Yamaha
483628    ,copart1,Polaris
483659    ,copart1,Ski-Doo
110588,copart1,Automobiles
474758,copart1,Motorcycles
483572  ,copart1,All Over
483599    ,copart1,Front End
483581    ,copart1,Rear End
483621    ,copart1,Salvage Title
483628    ,copart1,Boats
483659    ,copart1,Jet Skis
483648    ,copart1,Buy It Now
483665    ,copart1,Run and Drive
483687    ,copart1,ATVs
483701    ,copart1,Trailers
483706    ,copart1,BMW
483709    ,copart1,Chevrolet
483722    ,copart1,Ford
483726    ,copart1,Honda
483765    ,copart1,Kia
483805    ,copart1,Suzuki
483816    ,copart1,Harley-Davidson
483819    ,copart1,Kawasaki
483825    ,copart1,Yamaha
483628    ,copart1,Polaris
483659    ,copart1,Ski-Doo
110588,copart1,Automobiles
474758,copart1,Motorcycles
483572  ,copart1,All Over
483599    ,copart1,Front End
483581    ,copart1,Rear End
483621    ,copart1,Salvage Title
483628    ,copart1,Boats
483659    ,copart1,Jet Skis
483648    ,copart1,Buy It Now
483665    ,copart1,Run and Drive
483687    ,copart1,ATVs
483701    ,copart1,Trailers
483706    ,copart1,BMW
483709    ,copart1,Chevrolet
483722    ,copart1,Ford
483726    ,copart1,Honda
483765    ,copart1,Kia
483805    ,copart1,Suzuki
483816    ,copart1,Harley-Davidson
483819    ,copart1,Kawasaki
483825    ,copart1,Yamaha
483628    ,copart1,Polaris
483659    ,copart1,Ski-Doo
110588,copart1,Automobiles
474758,copart1,Motorcycles
483572  ,copart1,All Over
483599    ,copart1,Front End
483581    ,copart1,Rear End
483621    ,copart1,Salvage Title
483628    ,copart1,Boats
483659    ,copart1,Jet Skis
483648    ,copart1,Buy It Now
483665    ,copart1,Run and Drive
483687    ,copart1,ATVs
483701    ,copart1,Trailers
483706    ,copart1,BMW
483709    ,copart1,Chevrolet
483722    ,copart1,Ford
483726    ,copart1,Honda
483765    ,copart1,Kia
483805    ,copart1,Suzuki
483816    ,copart1,Harley-Davidson
483819    ,copart1,Kawasaki
483825    ,copart1,Yamaha
483628    ,copart1,Polaris
483659    ,copart1,Ski-Doo
110588,copart1,Automobiles
474758,copart1,Motorcycles
483572  ,copart1,All Over
483599    ,copart1,Front End
483581    ,copart1,Rear End
483621    ,copart1,Salvage Title
483628    ,copart1,Boats
483659    ,copart1,Jet Skis
483648    ,copart1,Buy It Now
