UserID,Password,LotNumbers
110588,copart1,24167125
474758,copart1,24167985
483572  ,copart1,24169345
483599    ,copart1,24169695
483581    ,copart1,24169935
483621    ,copart1,24170575
483628    ,copart1,24170915
483659    ,copart1,24171425
483648    ,copart1,24171665
483665    ,copart1,24171905
483687    ,copart1,24172275
483701    ,copart1,24172525
483706    ,copart1,25908295
483709    ,copart1,28950285
483722    ,copart1,30719675
483726    ,copart1,33586775
483765    ,copart1,38978705
483805    ,copart1,39543045
483816    ,copart1,14043456
483819    ,copart1,14995966
483825    ,copart1,15239646
110588,copart1,15400486
474758,copart1,15403406
483572  ,copart1,15796016
483599    ,copart1,15936206
483581    ,copart1,16981106
483621    ,copart1,17056826
483628    ,copart1,17163466
483659    ,copart1,17411216
483648    ,copart1,17627076
483665    ,copart1,17893256
483687    ,copart1,17934566
483701    ,copart1,17976386
483706    ,copart1,18410296
483709    ,copart1,18416436
483722    ,copart1,19793496
483726    ,copart1,20688316
483765    ,copart1,20932916
483805    ,copart1,21107496
483816    ,copart1,21441516
483819    ,copart1,21696816
483825    ,copart1,21891146
110588,copart1,21944626
474758,copart1,22180726
483572  ,copart1,22647666
483599    ,copart1,23340236
483581    ,copart1,23470916
483621    ,copart1,23475036
483628    ,copart1,23611566
483659    ,copart1,23800606
483648    ,copart1,23911786
483665    ,copart1,24012716
483687    ,copart1,24117036
483701    ,copart1,24264176
483706    ,copart1,24270486
483709    ,copart1,24402246
483722    ,copart1,24513216
483726    ,copart1,24515626
483765    ,copart1,24543096
483805    ,copart1,24630866
483816    ,copart1,24722656
483819    ,copart1,24801626
483825    ,copart1,24816986
110588,copart1,24830046
474758,copart1,24920786
483572  ,copart1,25043306
483599    ,copart1,25083726
483581    ,copart1,25149176
483621    ,copart1,25176336
483628    ,copart1,25213926
483659    ,copart1,25240476
483648    ,copart1,25276576
483665    ,copart1,25287336
483687    ,copart1,25386626
483701    ,copart1,25399186
483706    ,copart1,25424796
483709    ,copart1,25429116
