UserID,Password,VehicleFinder
16161,copart1,Automobiles
16181,copart1,Motorcycles
16211,copart1,All Over
16218,copart1,Front End
16220,copart1,Rear End
16228,copart1,Salvage Title
16240,copart1,Acura
16241,copart1,Audi
16248,copart1,BMW
16257,copart1,Chevrolet
16296,copart1,Chrysler
16312,copart1,Dodge
16318,copart1,Ford
16320,copart1,GMC
16326,copart1,Honda
16330,copart1,Hyundai
16352,copart1,Infiniti
16385,copart1,Jeep
16402,copart1,Kia
16416,copart1,Lexus
16423,copart1,Mazda
16435,copart1,Nissan
16454,copart1,Subaru
16488,copart1,Toyota
16491,copart1,Volkswagen
16503,copart1,Automobiles
16532,copart1,Motorcycles
2823,copart1,All Over
2811,copart1,Front End
2851,copart1,Rear End
2853,copart1,Salvage Title
16161,copart1,Acura
16181,copart1,Audi
16211,copart1,BMW
16218,copart1,Chevrolet
16220,copart1,Chrysler
16228,copart1,Dodge
16240,copart1,Ford
16241,copart1,GMC
16248,copart1,Honda
16257,copart1,Hyundai
16296,copart1,Infiniti
16312,copart1,Jeep
16318,copart1,Kia
16320,copart1,Lexus
16326,copart1,Mazda
16330,copart1,Nissan
16352,copart1,Subaru
16385,copart1,Toyota
16402,copart1,Volkswagen
16416,copart1,Automobiles
16423,copart1,Motorcycles
16435,copart1,All Over
16454,copart1,Front End
16488,copart1,Rear End
16491,copart1,Salvage Title
16503,copart1,Acura
16532,copart1,Audi
2823,copart1,BMW
2811,copart1,Chevrolet
2851,copart1,Chrysler
2853,copart1,Dodge
16161,copart1,Ford
16181,copart1,GMC
16211,copart1,Honda
16218,copart1,Hyundai
16220,copart1,Infiniti
16228,copart1,Jeep
16240,copart1,Kia
16241,copart1,Lexus
16248,copart1,Mazda
16257,copart1,Nissan
16296,copart1,Subaru
16312,copart1,Toyota
16318,copart1,Volkswagen
16320,copart1,Automobiles
16326,copart1,Motorcycles
16330,copart1,All Over
16352,copart1,Front End
16385,copart1,Rear End
16402,copart1,Salvage Title
16416,copart1,Acura
16423,copart1,Audi
16435,copart1,BMW
16454,copart1,Chevrolet
16488,copart1,Chrysler
16491,copart1,Dodge
16503,copart1,Ford
