UserID,Password,LotNumbers
16161,copart1,50021366
16181,copart1,50021376
16211,copart1,50021386
16218,copart1,50021406
16220,copart1,50021416
16228,copart1,50021426
16240,copart1,50021436
16241,copart1,50021446
16248,copart1,50021456
16257,copart1,50021466
16296,copart1,50021476
16312,copart1,50021486
16318,copart1,50021506
16320,copart1,50021516
16326,copart1,50021526
16330,copart1,50021536
16352,copart1,50021546
16385,copart1,50021556
16402,copart1,50021566
16416,copart1,50021576
16423,copart1,50021586
16435,copart1,50021596
16454,copart1,50021606
16488,copart1,50021616
16491,copart1,50021626
16503,copart1,50021636
16532,copart1,50021646
16312,copart1,50021656
16318,copart1,50021666
2851,copart1,50021676
2853,copart1,50021686
16161,copart1,50021696
16181,copart1,50021706
16211,copart1,50021716
16218,copart1,50021726
16220,copart1,50021736
16228,copart1,50021746
16240,copart1,50021756
16241,copart1,50021766
16248,copart1,50021776
16257,copart1,50021786
16296,copart1,50021816
16312,copart1,50021826
16318,copart1,50021846
16320,copart1,50021856
16326,copart1,50021866
16330,copart1,50021886
16352,copart1,50021896
16385,copart1,50021906
16402,copart1,50021916
16416,copart1,50021936
16423,copart1,50021946
16435,copart1,50021966
16454,copart1,50021986
16488,copart1,50021996
16491,copart1,50022006
16503,copart1,50022016
16532,copart1,50022036
16312,copart1,50022046
16318,copart1,50022056
2851,copart1,50022066
2853,copart1,50022076
16161,copart1,50022086
16181,copart1,50022096
16211,copart1,50022116
16218,copart1,50022126
16220,copart1,50022136
16228,copart1,50022146
16240,copart1,50022156
16241,copart1,50022166
16248,copart1,50022176
16257,copart1,50022186
16296,copart1,50022196
16312,copart1,50022206
16318,copart1,50022216
16320,copart1,50022226
16326,copart1,50022236
16330,copart1,50022246
16352,copart1,50022256
16385,copart1,50022266
16402,copart1,50022276
16416,copart1,50022286
16423,copart1,50022296
16435,copart1,50022306
16454,copart1,50022316
16488,copart1,50022326
16491,copart1,50022346
16503,copart1,50022356
16532,copart1,50022366
16312,copart1,50022376
16318,copart1,50022386
2851,copart1,50022396
2853,copart1,50022406
16161,copart1,50022416
16181,copart1,50022426
16211,copart1,50022436
16218,copart1,50022446
16220,copart1,50022456
16228,copart1,50022466
16240,copart1,50022476
16241,copart1,50022486
16248,copart1,50022496
16257,copart1,50022506
16296,copart1,50022516
16312,copart1,50022526
16318,copart1,50022536
16320,copart1,50022546
16326,copart1,50022556
16330,copart1,50022566
16352,copart1,50022576
16385,copart1,50022586
16402,copart1,50022596
16416,copart1,50022606
16423,copart1,50022616
16435,copart1,50022626
16454,copart1,50022636
16488,copart1,50022646
16491,copart1,50022656
16503,copart1,50022666
16532,copart1,50022676
16312,copart1,50022686
16318,copart1,50022696
2851,copart1,50022706
2853,copart1,50022716
16161,copart1,50022726
16181,copart1,50022736
16211,copart1,50022746
16218,copart1,50022756
16220,copart1,50022766
16228,copart1,50022776
16240,copart1,50022786
16241,copart1,50022796
16248,copart1,50022806
16257,copart1,50022816
16296,copart1,50022826
16312,copart1,50022836
16318,copart1,50022846
16320,copart1,50022856
16326,copart1,50022866
16330,copart1,50022876
16352,copart1,50022886
16385,copart1,50022896
16402,copart1,50022916
16416,copart1,50022936
16423,copart1,50022946
16435,copart1,50022956
16454,copart1,50022966
16488,copart1,50022976
16491,copart1,50022986
16503,copart1,50022996
16532,copart1,50023006
16312,copart1,50023016
16318,copart1,50023026
2851,copart1,50023036
2853,copart1,50023046
16161,copart1,50023056
16181,copart1,50023066
16211,copart1,50023076
16218,copart1,50023086
16220,copart1,50023096
16228,copart1,50023106
16240,copart1,50023116
16241,copart1,50023126
16248,copart1,50023136
16257,copart1,50023146
16296,copart1,50023156
16312,copart1,50023166
16318,copart1,50023176
16320,copart1,50023186
16326,copart1,50023196
16330,copart1,50023206
16352,copart1,50023216
16385,copart1,50023226
16402,copart1,50023236
16416,copart1,50023246
16423,copart1,50023256
16435,copart1,50023266
16454,copart1,50023276
16488,copart1,50023286
16491,copart1,50023296
16503,copart1,50023316
16532,copart1,50023326
16312,copart1,50023346
16318,copart1,50023356
2851,copart1,50023366
2853,copart1,50023376
16161,copart1,50023396
16181,copart1,50023406
16211,copart1,50023416
16218,copart1,50023426
16220,copart1,50023436
16228,copart1,50023446
16240,copart1,50023456
16241,copart1,50023466
16248,copart1,50023476
16257,copart1,50023486
16296,copart1,50023496
16312,copart1,50023506
16318,copart1,50023516
16320,copart1,50023526
16326,copart1,50023536
16330,copart1,50023546
16352,copart1,50023556
16385,copart1,50023566
16402,copart1,50023576
16416,copart1,50023586
16423,copart1,50023596
16435,copart1,50023606
16454,copart1,50023616
16488,copart1,50023626
16491,copart1,50023636
16503,copart1,50023646
16532,copart1,50023656
16312,copart1,50023666
16318,copart1,50023676
2851,copart1,50023686
2853,copart1,50023696
16161,copart1,50023706
16181,copart1,50023716
16211,copart1,50023726
16218,copart1,50023736
16220,copart1,50023746
16228,copart1,50023756
16240,copart1,50023766
16241,copart1,50023776
16248,copart1,50023786
16257,copart1,50023796
16296,copart1,50023806
16312,copart1,50023816
16318,copart1,50023826
16320,copart1,50023836
16326,copart1,50023846
16330,copart1,50023856
16352,copart1,50023866
16385,copart1,50023886
16402,copart1,50023896
16416,copart1,50023906
16423,copart1,50023916
16435,copart1,50023926
16454,copart1,50023936
16488,copart1,50023946
16491,copart1,50023956
16503,copart1,50023966
16532,copart1,50023976
16312,copart1,50023986
16318,copart1,50023996
2851,copart1,50024006
2853,copart1,50024016
16161,copart1,50024026
16181,copart1,50024036
16211,copart1,50024046
16218,copart1,50024056
16220,copart1,50024066
16228,copart1,50024076
16240,copart1,50024086
16241,copart1,50024096
16248,copart1,50024106
16257,copart1,50024116
16296,copart1,50024126
16312,copart1,50024136
16318,copart1,50024146
16320,copart1,50024156
16326,copart1,50024166
16330,copart1,50024176
16352,copart1,50024186
16385,copart1,50024196
16402,copart1,50024206
16416,copart1,50024216
16423,copart1,50024226
16435,copart1,50024236
16454,copart1,50024246
16488,copart1,50024256
16491,copart1,50024276
16503,copart1,50024286
16532,copart1,50024296
16312,copart1,50024306
16318,copart1,50024316
2851,copart1,50024326
2853,copart1,50024336
16161,copart1,50024346
16181,copart1,50024356
16211,copart1,50024366
16218,copart1,50024376
16220,copart1,50024386
16228,copart1,50024396
16240,copart1,50024406
