UserId,Password,LotNumber
584126,copart1,18173057
666134,copart1,18173167
711043,copart1,18173237
721184,copart1,18174137
365146,copart6,18174297
584126,copart1,18174597
666134,copart1,18174607
711043,copart1,18176257
721184,copart1,18176277
365146,copart6,18176607
584126,copart1,18177057
666134,copart1,18177467
711043,copart1,18178197
721184,copart1,18178267
365146,copart6,18178587
584126,copart1,18178707
666134,copart1,18179347
711043,copart1,18179367
721184,copart1,18180207
365146,copart6,18180337
584126,copart1,18181097
666134,copart1,18181617
711043,copart1,18182357
721184,copart1,18185057
365146,copart6,18185197
584126,copart1,18185427
666134,copart1,18186017
711043,copart1,18186727
721184,copart1,18186907
365146,copart6,18187007
584126,copart1,18187077
666134,copart1,18187467
711043,copart1,18191657
721184,copart1,18191887
365146,copart6,18192707
584126,copart1,18192887
666134,copart1,18197537
711043,copart1,18202617
721184,copart1,18203917
365146,copart6,18205517
584126,copart1,18206877
666134,copart1,18207407
711043,copart1,18210187
721184,copart1,18211047
365146,copart6,18211767
584126,copart1,18213537
666134,copart1,18214577
711043,copart1,18215607
721184,copart1,18216307
365146,copart6,18218507
584126,copart1,18226067
666134,copart1,18233787
711043,copart1,18234827
721184,copart1,18279237
365146,copart6,18304357
584126,copart1,18304767
666134,copart1,18307057
711043,copart1,18307237
721184,copart1,18307727
365146,copart6,18307957
584126,copart1,18308107
666134,copart1,18309177
711043,copart1,18310587
721184,copart1,18311867
365146,copart6,18314417
584126,copart1,18315057
666134,copart1,18316577
711043,copart1,18317287
721184,copart1,18320587
365146,copart6,18322047
584126,copart1,18331817
666134,copart1,18331917
711043,copart1,18333767
721184,copart1,18334077
365146,copart6,18335547
584126,copart1,18336877
666134,copart1,18337637
711043,copart1,18337827
721184,copart1,18339067
365146,copart6,18340567
584126,copart1,18341167
666134,copart1,18342147
711043,copart1,18342167
721184,copart1,18345697
365146,copart6,18351077
584126,copart1,18356527
666134,copart1,18359187
711043,copart1,18361437
721184,copart1,18362307
365146,copart6,18436837
584126,copart1,18437437
666134,copart1,18438647
711043,copart1,18439457
721184,copart1,18439827
365146,copart6,18440047
584126,copart1,18440107
666134,copart1,18440477
711043,copart1,18440507
721184,copart1,18440627
365146,copart6,18440657
584126,copart1,18441057
666134,copart1,18441527
711043,copart1,18442087
721184,copart1,18442717
365146,copart6,18443247
584126,copart1,18444717
666134,copart1,18452087
711043,copart1,18452197
721184,copart1,18454137
365146,copart6,18483137
584126,copart1,18487997
666134,copart1,18563567
711043,copart1,18583117
721184,copart1,18583727
365146,copart6,18586157
584126,copart1,18588707
666134,copart1,18590857
711043,copart1,18591427
721184,copart1,18600637
365146,copart6,18615807
584126,copart1,18632797
666134,copart1,18650957
711043,copart1,18731757
721184,copart1,18862717
365146,copart6,31604295
584126,copart1,15240246
666134,copart1,19718966
711043,copart1,22839876
721184,copart1,23077486
365146,copart6,24592686
584126,copart1,25710746
666134,copart1,26535696
711043,copart1,27688156
721184,copart1,27699586
365146,copart6,27912446
584126,copart1,28167186
666134,copart1,28395196
711043,copart1,29196586
721184,copart1,30488996
365146,copart6,30758746
584126,copart1,31314816
666134,copart1,32288816
711043,copart1,32319456
721184,copart1,32563046
365146,copart6,33385216
584126,copart1,33980366
666134,copart1,34269186
711043,copart1,34656816
721184,copart1,35402936
365146,copart6,36051076
584126,copart1,36656866
666134,copart1,37013916
711043,copart1,37129556
721184,copart1,37136476
365146,copart6,37263626
584126,copart1,37263786
666134,copart1,37526176
711043,copart1,37786976
721184,copart1,37800856
365146,copart6,37836786
584126,copart1,37937526
666134,copart1,38065266
711043,copart1,38089536
721184,copart1,38218366
365146,copart6,38248026
584126,copart1,38314666
666134,copart1,38321266
711043,copart1,38354456
721184,copart1,38447506
365146,copart6,38456496
584126,copart1,38463406
666134,copart1,39243916
711043,copart1,39536636
721184,copart1,39622676
365146,copart6,39629036
584126,copart1,39634606
666134,copart1,39958836
711043,copart1,40047886
721184,copart1,40068736
365146,copart6,40079306
584126,copart1,40084126
666134,copart1,40178956
711043,copart1,40213116
721184,copart1,40280196
365146,copart6,40298316
584126,copart1,40414586
666134,copart1,40416256
711043,copart1,40480596
721184,copart1,40686536
365146,copart6,40686696
584126,copart1,40687246
666134,copart1,40703386
711043,copart1,40708936
721184,copart1,40718396
365146,copart6,40735936
584126,copart1,40828926
666134,copart1,40848856
711043,copart1,40861726
721184,copart1,40868746
365146,copart6,40937946
584126,copart1,40974066
666134,copart1,41053296
711043,copart1,41083586
721184,copart1,41088396
365146,copart6,41124886
584126,copart1,41128936
666134,copart1,41134436
711043,copart1,41234776
721184,copart1,41254236
365146,copart6,41369916
584126,copart1,41375576
666134,copart1,41376056
711043,copart1,41380776
721184,copart1,41387236
365146,copart6,41484616
584126,copart1,41488556
666134,copart1,41489256
711043,copart1,41497476
721184,copart1,41508666
365146,copart6,41513276
584126,copart1,41514676
666134,copart1,41529476
711043,copart1,41533996
721184,copart1,41560286
365146,copart6,42089436
584126,copart1,42094556
666134,copart1,42095726
711043,copart1,42108886
721184,copart1,42112996
365146,copart6,42232416
584126,copart1,42232706
666134,copart1,42240126
711043,copart1,42380506
721184,copart1,42390616
365146,copart6,42396866
584126,copart1,42405886
666134,copart1,42427056
711043,copart1,42506256
721184,copart1,42507596
365146,copart6,42521356
584126,copart1,42531526
666134,copart1,42550406
711043,copart1,42560636
721184,copart1,42562356
365146,copart6,42636066
584126,copart1,42636706
666134,copart1,42638456
711043,copart1,42640136
721184,copart1,42641066
365146,copart6,42642806
584126,copart1,42656376
666134,copart1,42670646
711043,copart1,42674616
721184,copart1,42682836
365146,copart6,42691126
584126,copart1,42758846
666134,copart1,42786826
711043,copart1,42794606
721184,copart1,42794836
365146,copart6,42798876
584126,copart1,42848276
666134,copart1,42851296
711043,copart1,42934456
721184,copart1,42935826
365146,copart6,42938716
584126,copart1,42947366
666134,copart1,42947906
711043,copart1,42964976
721184,copart1,42991806
365146,copart6,43074626
584126,copart1,43081336
666134,copart1,43082246
711043,copart1,43082796
721184,copart1,43085416
365146,copart6,43091906
584126,copart1,43092836
666134,copart1,43116026
711043,copart1,43210816
721184,copart1,43212836
365146,copart6,43229236
584126,copart1,43234486
666134,copart1,43234966
