MemberID,Password,CarMake
5129,copart4,Acura
63634,copart8,Audi
336302,copart1,BMW
168545,copart2,Chevrolet
174382,copart1,Chrysler
174402,copart1,Dodge
174413,copart1,Ford
174415,copart1,GMC
174416,copart1,Honda
174419,copart1,Hyundai
174429,copart1,Infiniti
174430,copart1,Jeep
174432,copart1,Kia
174436,copart1,Lexus
174599,copart1,Mazda
174613,copart1,McLaren
174625,copart1,Mercedes Benz
174630,copart1,Nissan
174639,copart1,Subaru
174641,copart1,Toyota
174644,copart1,Volkswagen
174647,copart1,Acura
174659,copart1,Audi
174662,copart1,BMW
174669,copart1,Chevrolet
174679,copart1,Chrysler
174479,copart1,Dodge
174699,copart1,Ford
174710,copart1,GMC
5129,copart4,Honda
63634,copart8,Hyundai
336302,copart1,Infiniti
168545,copart2,Jeep
174382,copart1,Kia
174402,copart1,Lexus
174413,copart1,Mazda
174415,copart1,McLaren
174416,copart1,Mercedes Benz
174419,copart1,Nissan
174429,copart1,Subaru
174430,copart1,Toyota
174432,copart1,Volkswagen
174436,copart1,Acura
174599,copart1,Audi
174613,copart1,BMW
174625,copart1,Chevrolet
174630,copart1,Chrysler
174639,copart1,Dodge
174641,copart1,Ford
174644,copart1,GMC
174647,copart1,Honda
174659,copart1,Hyundai
174662,copart1,Infiniti
174669,copart1,Jeep
174679,copart1,Kia
174479,copart1,Lexus
174699,copart1,Mazda
174710,copart1,McLaren
5129,copart4,Mercedes Benz
63634,copart8,Nissan
336302,copart1,Subaru
168545,copart2,Toyota
174382,copart1,Volkswagen
174402,copart1,Acura
174413,copart1,Audi
174415,copart1,BMW
174416,copart1,Chevrolet
174419,copart1,Chrysler
174429,copart1,Dodge
174430,copart1,Ford
174432,copart1,GMC
174436,copart1,Honda
174599,copart1,Hyundai
174613,copart1,Infiniti
174625,copart1,Jeep
174630,copart1,Kia
174639,copart1,Lexus
174641,copart1,Mazda
174644,copart1,McLaren
174647,copart1,Mercedes Benz
174659,copart1,Nissan
174662,copart1,Subaru
174669,copart1,Toyota
174679,copart1,Volkswagen
174479,copart1,Acura
174699,copart1,Audi
174710,copart1,BMW
5129,copart4,Chevrolet
63634,copart8,Chrysler
336302,copart1,Dodge
168545,copart2,Ford
174382,copart1,GMC
174402,copart1,Honda
174413,copart1,Hyundai
174415,copart1,Infiniti
174416,copart1,Jeep
174419,copart1,Kia
174429,copart1,Lexus
174430,copart1,Mazda
