MemberID,Password,LotNumber
5129,copart4,48288965
63634,copart8,48289025
336302,copart1,48289065
168545,copart2,48289175
5129,copart4,48323975
63634,copart8,48328505
336302,copart1,48328595
168545,copart2,48328685
5129,copart4,48328735
63634,copart8,48351735
336302,copart1,48355335
168545,copart2,48356095
5129,copart4,48359955
63634,copart8,48359995
336302,copart1,48362975
168545,copart2,48362995
5129,copart4,48363085
63634,copart8,48372165
336302,copart1,48372195
5129,copart4,48372225
63634,copart8,48372245
