UserId,Password,LotNumber,
6048,copart1,34796135,
6131,copart1,34820805,
6146,copart1,34879435,
6178,copart1,34936235,
6193,copart1,34967775,
6200,copart1,34970715,
6219,copart1,35084275,
6256,copart1,35084595,
6269,copart1,35095675,
6284,copart1,35098385,
6659,copart1,35099935,
6666,copart1,34718315,
6667,copart1,34882015,
6687,copart1,34887725,
6688,copart1,34941915,
6689,copart1,34980365,
6697,copart1,34982585,
6726,copart1,34985745,
6747,copart1,35026755,
6755,copart1,35031485,
6762,copart1,35046355,
6789,copart1,35046885,
6871,copart1,35047195,
6885,copart1,35065765,
6887,copart1,34695465,
6896,copart1,34697315,
6902,copart1,34708035,
6906,copart1,34713585,
6914,copart1,34867625,
6926,copart1,34872705,
7027,copart1,34930145,
7043,copart1,34930655,
7069,copart1,34931025,
7075,copart1,34988345,
7083,copart1,34989285,
7125,copart1,35041645,
7140,copart1,35075455,
7155,copart1,35077175,
7165,copart1,36573225,
7219,copart1,36638835,
7220,copart1,49841966,
7221,copart1,34206005,
7225,copart1,34217515,
7251,copart1,34256565,
7265,copart1,34334665,
7302,copart1,34339825,
7314,copart1,34435545,
7330,copart1,34450245,
7342,copart1,34457145,
7353,copart1,34474295,
7357,copart1,34476235,
7378,copart1,34530915,
7439,copart1,34564405,
7445,copart1,34583025,
7446,copart1,34611725,
7449,copart1,34627425,
6048,copart1,34685565,
6131,copart1,34816555,
6146,copart1,34819475,
6178,copart1,34875315,
6193,copart1,34878705,
6200,copart1,34934935,
6219,copart1,34960125,
6256,copart1,35088675,
6269,copart1,35105095,
6284,copart1,35105575,
6659,copart1,35106565,
6666,copart1,35106655,
6667,copart1,35158285,
6687,copart1,35162015,
6688,copart1,34210975,
6689,copart1,34261315,
6697,copart1,34379855,
6726,copart1,34410635,
6747,copart1,34445845,
6755,copart1,34472165,
6762,copart1,34492295,
6789,copart1,34497595,
6871,copart1,34552495,
6885,copart1,34574295,
6887,copart1,34580725,
6896,copart1,34593445,
6902,copart1,34593465,
6906,copart1,34598065,
6914,copart1,34598925,
6926,copart1,34603685,
7027,copart1,34604845,
7043,copart1,34718495,
7069,copart1,34841145,
7075,copart1,34841395,
7083,copart1,34881275,
7125,copart1,34882935,
7140,copart1,34885295,
7155,copart1,34887675,
7165,copart1,34980465,
7219,copart1,34981155,
7220,copart1,35030485,
7221,copart1,35030655,
7225,copart1,35032285,
7251,copart1,35032365,
7265,copart1,35045235,
7302,copart1,35049795,
7314,copart1,35066715,
7330,copart1,35068735,
7342,copart1,34225555,
7353,copart1,34228665,
7357,copart1,34247145,
7378,copart1,34267295,
7439,copart1,34366855,
7445,copart1,34369835,
7446,copart1,34370405,
7449,copart1,34459915,
6048,copart1,34489345,
6131,copart1,34499225,
6146,copart1,34499305,
6178,copart1,34511935,
6193,copart1,34573645,
6200,copart1,34635675,
6219,copart1,34657475,
6256,copart1,34681135,
6269,copart1,34692645,
6284,copart1,34707945,
6659,copart1,34709615,
6666,copart1,34711635,
6667,copart1,34861975,
6687,copart1,34866655,
6688,copart1,34948625,
6689,copart1,34948815,
6697,copart1,34950285,
6726,copart1,34985915,
6747,copart1,34986595,
6755,copart1,34987845,
6762,copart1,34988585,
6789,copart1,34991745,
6871,copart1,34991835,
6885,copart1,35043545,
6887,copart1,35107185,
6896,copart1,35107215,
6902,copart1,35143265,
6906,copart1,35147245,
6914,copart1,35412985,
6926,copart1,35415225,
7027,copart1,49844866,
7043,copart1,49838556,
7069,copart1,49838566,
7075,copart1,49838576,
7083,copart1,49841096,
7125,copart1,49841106,
7140,copart1,49841116,
7155,copart1,49837616,
7165,copart1,49842456,
7219,copart1,36710045,
7220,copart1,36336795,
7221,copart1,36338985,
7225,copart1,36648665,
7251,copart1,36683515,
7265,copart1,34175855,
7302,copart1,34176955,
7314,copart1,34179775,
7330,copart1,34340115,
7342,copart1,36482585,
7353,copart1,36484825,
7357,copart1,36599595,
7378,copart1,36633455,
7439,copart1,36651085,
7445,copart1,36657345,
7446,copart1,36663305,
7449,copart1,34173445,
6048,copart1,34176105,
6131,copart1,34177475,
6146,copart1,34177685,
6178,copart1,34178445,
6193,copart1,34200085,
6200,copart1,34222015,
6219,copart1,34239605,
6256,copart1,34240305,
6269,copart1,34255455,
6284,copart1,34258285,
6659,copart1,34304485,
6666,copart1,34306935,
6667,copart1,34310305,
6687,copart1,34313915,
6688,copart1,34338205,
6689,copart1,34338415,
6697,copart1,34353225,
6726,copart1,34353335,
6747,copart1,34373625,
6755,copart1,34525255,
6762,copart1,34525435,
6789,copart1,34528405,
6871,copart1,34532415,
6885,copart1,34535705,
6887,copart1,34538965,
6896,copart1,34540415,
6902,copart1,34558845,
6906,copart1,34565465,
6914,copart1,34584055,
6926,copart1,34183265,
7027,copart1,34186685,
7043,copart1,34188035,
7069,copart1,34209035,
7075,copart1,34214005,
7083,copart1,34233535,
7125,copart1,34235085,
7140,copart1,34262305,
7155,copart1,34264895,
7165,copart1,34291085,
7219,copart1,34317835,
7220,copart1,34319935,
7221,copart1,34320415,
7225,copart1,34320595,
7251,copart1,34321535,
7265,copart1,34322185,
7302,copart1,34322445,
7314,copart1,34322865,
7330,copart1,34379045,
7342,copart1,34391515,
7353,copart1,34409035,
7357,copart1,34422015,
7378,copart1,34470945,
7439,copart1,34515565,
7445,copart1,34515705,
