UserId,Password,LotNumbers
testemail456@mailinator.com,copart123,50014797
sapindia123@mailinator.com,copart444,50014795
qastageindia123@mailinator.com,copart123,50014097
testemail456@mailinator.com,copart123,50013113
sapindia123@mailinator.com,copart444,50013106
qastageindia123@mailinator.com,copart123,50015060
testemail456@mailinator.com,copart123,50014858
sapindia123@mailinator.com,copart444,50014856
qastageindia123@mailinator.com,copart123,50014797
testemail456@mailinator.com,copart123,50014795
sapindia123@mailinator.com,copart444,50014097
qastageindia123@mailinator.com,copart123,50013113
testemail456@mailinator.com,copart123,50013106
sapindia123@mailinator.com,copart444,50015060
qastageindia123@mailinator.com,copart123,50014858
testemail456@mailinator.com,copart123,50014856
sapindia123@mailinator.com,copart444,50014797
qastageindia123@mailinator.com,copart123,50014795
testemail456@mailinator.com,copart123,50014097
sapindia123@mailinator.com,copart444,50013113
qastageindia123@mailinator.com,copart123,50013106
testemail456@mailinator.com,copart123,50015060
sapindia123@mailinator.com,copart444,50014858
qastageindia123@mailinator.com,copart123,50014856
testemail456@mailinator.com,copart123,50014797
sapindia123@mailinator.com,copart444,50014795
qastageindia123@mailinator.com,copart123,50014097
testemail456@mailinator.com,copart123,50013113
sapindia123@mailinator.com,copart444,50013106
qastageindia123@mailinator.com,copart123,50015060
,,
,,
