LynkUserID,Password,AppLotNo,,,,
DEMOG,DEMOG1,49922976,,,,
DEM0000179 ,6N4T6GBG5Z,49945236,,,,
DEM0000180,SYB98GBR8Z,49946486,,,,
DEM0000181,XXVRNZ9Z5Q,49958746,,,,
DEM0000182,W9MMNAH3XH,49958756,,,,
DEM0000183,GAH6V745ET,49958766,,,,
DEM0000184,RJ9WRSKJJP,49958776,,,,
DEM0000185,WX4437UDAR,49958786,,,,
DEM0000186,BBCQ2BVXGU,49958796,,,,
DEM0000187,9YWMH86EAP,49958826,,,,
DEM0000188,EYBPG5PHV5,49958886,,,,
DEM0000189,EDSGQAHKVV,49958906,,,,
DEM0000190,47EZ9VW7EZ,49958936,,,,
DEM0000191,79YGMKNKKS,49958946,,,,
DEM0000192,RZ3KKD6NB6,49958956,,,,
DEM0000193,2DWGWUWVRP,49959096,,,,
DEM0000194,6R5B7A36P7,49959106,,,,
DEMOG,DEMOG1,49959116,,,,
DEM0000179 ,6N4T6GBG5Z,49959126,,,,
DEM0000180,SYB98GBR8Z,49959136,,,,
DEM0000181,XXVRNZ9Z5Q,49959306,,,,
DEM0000182,W9MMNAH3XH,49959326,,,,
DEM0000183,GAH6V745ET,49960086,,,,
DEM0000184,RJ9WRSKJJP,49960096,,,,
DEM0000185,WX4437UDAR,49960116,,,,
DEM0000186,BBCQ2BVXGU,49960126,,,,
DEM0000187,9YWMH86EAP,49960736,,,,
DEM0000188,EYBPG5PHV5,49961196,,,,
DEM0000189,EDSGQAHKVV,49961216,,,,
DEM0000190,47EZ9VW7EZ,49961236,,,,
DEM0000191,79YGMKNKKS,49961246,,,,
DEM0000192,RZ3KKD6NB6,49961266,,,,
DEM0000193,2DWGWUWVRP,49961286,,,,
DEM0000194,6R5B7A36P7,49961296,,,,
DEMOG,DEMOG1,49961486,,,,
DEM0000179 ,6N4T6GBG5Z,49961496,,,,
