LynkUserID,Password,LotNumber,PhoneNo
DEMOG,DEMOG1,49949446,5105105100
DEM0000179 ,6N4T6GBG5Z,49948866,5105105101
DEM0000180,SYB98GBR8Z,49949066,5105105102
DEM0000181,XXVRNZ9Z5Q,49948976,5105105103
DEM0000182,W9MMNAH3XH,49947836,5105105104
DEM0000183,GAH6V745ET,49947826,5105105105
DEM0000184,RJ9WRSKJJP,49947426,5105105106
DEM0000185,WX4437UDAR,49946836,5105105107
DEM0000186,BBCQ2BVXGU,49943426,5105105108
DEM0000187,9YWMH86EAP,49937496,5105105109
DEM0000188,EYBPG5PHV5,49938076,5105105110
DEM0000189,EDSGQAHKVV,49941556,5105105111
DEM0000190,47EZ9VW7EZ,49897486,5105105112
DEM0000191,79YGMKNKKS,49941576,5105105113
DEM0000192,RZ3KKD6NB6,49941566,5105105114
DEM0000193,2DWGWUWVRP,17273256,5105105115
DEM0000194,6R5B7A36P7,17081546,5105105116
DEMOG,DEMOG1,49938026,5105105117
DEM0000179 ,6N4T6GBG5Z,17306686,5105105118
DEM0000180,SYB98GBR8Z,49937736,5105105119
DEM0000181,XXVRNZ9Z5Q,49937486,5105105120
DEM0000182,W9MMNAH3XH,49934606,5105105121
DEM0000183,GAH6V745ET,49928646,5105105122
DEM0000184,RJ9WRSKJJP,49924586,5105105123
DEM0000185,WX4437UDAR,49924576,5105105124
DEM0000186,BBCQ2BVXGU,49916926,5105105125
DEM0000187,9YWMH86EAP,49921036,5105105126
DEM0000188,EYBPG5PHV5,49920976,5105105127
DEM0000189,EDSGQAHKVV,49905446,5105105128
DEM0000190,47EZ9VW7EZ,49917996,5105105129
DEM0000191,79YGMKNKKS,49910306,5105105130
DEM0000192,RZ3KKD6NB6,49914196,5105105131
DEM0000193,2DWGWUWVRP,49913976,5105105132
DEM0000194,6R5B7A36P7,49913966,5105105133
DEMOG,DEMOG1,49913576,5105105134
DEM0000179 ,6N4T6GBG5Z,49913466,5105105135
DEM0000180,SYB98GBR8Z,49909936,5105105136
DEM0000181,XXVRNZ9Z5Q,49909486,5105105137
DEM0000182,W9MMNAH3XH,49909426,5105105138
DEM0000183,GAH6V745ET,49896186,5105105139
DEM0000184,RJ9WRSKJJP,49896716,5105105140
DEM0000185,WX4437UDAR,49908756,5105105141
DEM0000186,BBCQ2BVXGU,49908286,5105105142
DEM0000187,9YWMH86EAP,49905196,5105105143
DEM0000188,EYBPG5PHV5,49905186,5105105144
DEM0000189,EDSGQAHKVV,49905176,5105105145
DEM0000190,47EZ9VW7EZ,49902736,5105105146
DEM0000191,79YGMKNKKS,49901026,5105105147
DEM0000192,RZ3KKD6NB6,49897456,5105105148
DEM0000193,2DWGWUWVRP,49897196,5105105149
DEM0000194,6R5B7A36P7,49897136,5105105150
DEMOG,DEMOG1,49896756,5105105151
DEM0000179 ,6N4T6GBG5Z,49896656,5105105152
DEM0000180,SYB98GBR8Z,17426496,5105105153
DEM0000181,XXVRNZ9Z5Q,17414206,5105105154
DEM0000182,W9MMNAH3XH,17414216,5105105155
DEM0000183,GAH6V745ET,16583246,5105105156
DEM0000184,RJ9WRSKJJP,14137866,5105105157
DEM0000185,WX4437UDAR,17417216,5105105158
DEM0000186,BBCQ2BVXGU,17417786,5105105159
DEM0000187,9YWMH86EAP,17266106,5105105160
DEM0000188,EYBPG5PHV5,17417506,5105105161
DEM0000189,EDSGQAHKVV,17417386,5105105162
DEM0000190,47EZ9VW7EZ,17416936,5105105163
DEM0000191,79YGMKNKKS,17416436,5105105164
DEM0000192,RZ3KKD6NB6,16810776,5105105165
DEM0000193,2DWGWUWVRP,17416026,5105105166
DEM0000194,6R5B7A36P7,17415216,5105105167
DEMOG,DEMOG1,17415256,5105105168
DEM0000179 ,6N4T6GBG5Z,17415096,5105105169
DEM0000180,SYB98GBR8Z,17414776,5105105170
DEM0000181,XXVRNZ9Z5Q,17406646,5105105171
DEM0000182,W9MMNAH3XH,17413996,5105105172
DEM0000183,GAH6V745ET,17413786,5105105173
DEM0000184,RJ9WRSKJJP,17413646,5105105174
DEM0000185,WX4437UDAR,17243486,5105105175
DEM0000186,BBCQ2BVXGU,17060746,5105105176
DEM0000187,9YWMH86EAP,15389346,5105105177
DEM0000188,EYBPG5PHV5,17406226,5105105178
DEM0000189,EDSGQAHKVV,17390806,5105105179
DEM0000190,47EZ9VW7EZ,17411716,5105105180
DEM0000191,79YGMKNKKS,17411876,5105105181
DEM0000192,RZ3KKD6NB6,16913106,5105105182
DEM0000193,2DWGWUWVRP,17412186,5105105183
DEM0000194,6R5B7A36P7,17193526,5105105184
DEMOG,DEMOG1,17155236,5105105185
DEM0000179 ,6N4T6GBG5Z,17403356,5105105186
DEM0000180,SYB98GBR8Z,17410326,5105105187
DEM0000181,XXVRNZ9Z5Q,17279106,5105105188
DEM0000182,W9MMNAH3XH,17230786,5105105189
DEM0000183,GAH6V745ET,17280036,5105105190
DEM0000184,RJ9WRSKJJP,16744246,5105105191
DEM0000185,WX4437UDAR,17409966,5105105192
DEM0000186,BBCQ2BVXGU,17163056,5105105193
DEM0000187,9YWMH86EAP,17346476,5105105194
DEM0000188,EYBPG5PHV5,17409526,5105105195
DEM0000189,EDSGQAHKVV,17407576,5105105196
DEM0000190,47EZ9VW7EZ,16783946,5105105197
DEM0000191,79YGMKNKKS,17364106,5105105198
DEM0000192,RZ3KKD6NB6,17259446,5105105199
DEM0000193,2DWGWUWVRP,17390966,5105105200
DEM0000194,6R5B7A36P7,17408646,5105105201
DEMOG,DEMOG1,17363696,5105105202
DEM0000179 ,6N4T6GBG5Z,17397866,5105105203
DEM0000180,SYB98GBR8Z,17408166,5105105204
DEM0000181,XXVRNZ9Z5Q,17407516,5105105205
DEM0000182,W9MMNAH3XH,17349986,5105105206
DEM0000183,GAH6V745ET,17404906,5105105207
DEM0000184,RJ9WRSKJJP,15386736,5105105208
DEM0000185,WX4437UDAR,17407456,5105105209
DEM0000186,BBCQ2BVXGU,17304886,5105105210
DEM0000187,9YWMH86EAP,16145726,5105105211
DEM0000188,EYBPG5PHV5,17406636,5105105212
DEM0000189,EDSGQAHKVV,17303496,5105105213
DEM0000190,47EZ9VW7EZ,17393816,5105105214
DEM0000191,79YGMKNKKS,17403756,5105105215
DEM0000192,RZ3KKD6NB6,17388026,5105105216
DEM0000193,2DWGWUWVRP,17179956,5105105217
DEM0000194,6R5B7A36P7,17247176,5105105218
DEMOG,DEMOG1,17401266,5105105219
DEM0000179 ,6N4T6GBG5Z,17402266,5105105220
DEM0000180,SYB98GBR8Z,17402706,5105105221
DEM0000181,XXVRNZ9Z5Q,17342046,5105105222
DEM0000182,W9MMNAH3XH,17357596,5105105223
DEM0000183,GAH6V745ET,17390976,5105105224
DEM0000184,RJ9WRSKJJP,17283816,5105105225
DEM0000185,WX4437UDAR,17402536,5105105226
DEM0000186,BBCQ2BVXGU,17399156,5105105227
DEM0000187,9YWMH86EAP,17282356,5105105228
DEM0000188,EYBPG5PHV5,17043656,5105105229
DEM0000189,EDSGQAHKVV,16726816,5105105230
DEM0000190,47EZ9VW7EZ,17397946,5105105231
DEM0000191,79YGMKNKKS,17299646,5105105232
DEM0000192,RZ3KKD6NB6,17398586,5105105233
DEM0000193,2DWGWUWVRP,17372486,5105105234
DEM0000194,6R5B7A36P7,17396476,5105105235
DEMOG,DEMOG1,17103766,5105105236
DEM0000179 ,6N4T6GBG5Z,16824826,5105105237
DEM0000180,SYB98GBR8Z,17394566,5105105238
DEM0000181,XXVRNZ9Z5Q,17279366,5105105239
DEM0000182,W9MMNAH3XH,16615346,5105105240
DEM0000183,GAH6V745ET,17390696,5105105241
DEM0000184,RJ9WRSKJJP,16423166,5105105242
DEM0000185,WX4437UDAR,17387486,5105105243
DEM0000186,BBCQ2BVXGU,15795786,5105105244
DEM0000187,9YWMH86EAP,15040666,5105105245
DEM0000188,EYBPG5PHV5,17374586,5105105246
DEM0000189,EDSGQAHKVV,17144336,5105105247
DEM0000190,47EZ9VW7EZ,15603026,5105105248
DEMOG,DEMOG1,49949446,5105105249
DEM0000179 ,6N4T6GBG5Z,49948866,5105105250
DEM0000180,SYB98GBR8Z,49949066,5105105251
DEM0000181,XXVRNZ9Z5Q,49948976,5105105252
DEM0000182,W9MMNAH3XH,49947836,5105105253
DEM0000183,GAH6V745ET,49947826,5105105254
DEM0000184,RJ9WRSKJJP,49947426,5105105255
DEM0000185,WX4437UDAR,49946836,5105105256
DEM0000186,BBCQ2BVXGU,49943426,5105105257
DEM0000187,9YWMH86EAP,49937496,5105105258
DEM0000188,EYBPG5PHV5,49938076,5105105259
DEM0000189,EDSGQAHKVV,49941556,5105105260
DEM0000190,47EZ9VW7EZ,49897486,5105105261
DEM0000191,79YGMKNKKS,49941576,5105105262
DEM0000192,RZ3KKD6NB6,49941566,5105105263
DEM0000193,2DWGWUWVRP,17273256,5105105264
DEM0000194,6R5B7A36P7,17081546,5105105265
DEMOG,DEMOG1,49938026,5105105266
DEM0000179 ,6N4T6GBG5Z,17306686,5105105267
DEM0000180,SYB98GBR8Z,49937736,5105105268
DEM0000181,XXVRNZ9Z5Q,49937486,5105105269
DEM0000182,W9MMNAH3XH,49934606,5105105270
DEM0000183,GAH6V745ET,49928646,5105105271
DEM0000184,RJ9WRSKJJP,49924586,5105105272
DEM0000185,WX4437UDAR,49924576,5105105273
DEM0000186,BBCQ2BVXGU,49916926,5105105274
DEM0000187,9YWMH86EAP,49921036,5105105275
DEM0000188,EYBPG5PHV5,49920976,5105105276
DEM0000189,EDSGQAHKVV,49905446,5105105277
DEM0000190,47EZ9VW7EZ,49917996,5105105278
DEM0000191,79YGMKNKKS,49910306,5105105279
DEM0000192,RZ3KKD6NB6,49914196,5105105280
DEM0000193,2DWGWUWVRP,49913976,5105105281
DEM0000194,6R5B7A36P7,49913966,5105105282
DEMOG,DEMOG1,49913576,5105105283
DEM0000179 ,6N4T6GBG5Z,49913466,5105105284
DEM0000180,SYB98GBR8Z,49909936,5105105285
DEM0000181,XXVRNZ9Z5Q,49909486,5105105286
DEM0000182,W9MMNAH3XH,49909426,5105105287
DEM0000183,GAH6V745ET,49896186,5105105288
DEM0000184,RJ9WRSKJJP,49896716,5105105289
DEM0000185,WX4437UDAR,49908756,5105105290
DEM0000186,BBCQ2BVXGU,49908286,5105105291
DEM0000187,9YWMH86EAP,49905196,5105105292
DEM0000188,EYBPG5PHV5,49905186,5105105293
DEM0000189,EDSGQAHKVV,49905176,5105105294
DEM0000190,47EZ9VW7EZ,49902736,5105105295
DEM0000191,79YGMKNKKS,49901026,5105105296
DEM0000192,RZ3KKD6NB6,49897456,5105105297
DEM0000193,2DWGWUWVRP,49897196,5105105298
DEM0000194,6R5B7A36P7,49897136,5105105299
DEMOG,DEMOG1,49896756,5105105300
DEM0000179 ,6N4T6GBG5Z,49896656,5105105301
DEM0000180,SYB98GBR8Z,17426496,5105105302
DEM0000181,XXVRNZ9Z5Q,17414206,5105105303
DEM0000182,W9MMNAH3XH,17414216,5105105304
DEM0000183,GAH6V745ET,16583246,5105105305
DEM0000184,RJ9WRSKJJP,14137866,5105105306
DEM0000185,WX4437UDAR,17417216,5105105307
DEM0000186,BBCQ2BVXGU,17417786,5105105308
DEM0000187,9YWMH86EAP,17266106,5105105309
