LynkUserID,Password,LotNumbers
DEMOG,DEMOG1,17318156
DEM0000179 ,6N4T6GBG5Z,17360266
DEM0000180,SYB98GBR8Z,15857896
DEM0000181,XXVRNZ9Z5Q,16959356
DEM0000182,W9MMNAH3XH,17384156
DEM0000183,GAH6V745ET,17181666
DEM0000184,RJ9WRSKJJP,16451946
DEM0000185,WX4437UDAR,17014226
DEM0000186,BBCQ2BVXGU,17070546
DEM0000187,9YWMH86EAP,17283666
DEM0000188,EYBPG5PHV5,17186036
DEM0000189,EDSGQAHKVV,14316696
DEM0000190,47EZ9VW7EZ,17369786
DEM0000191,79YGMKNKKS,14365496
DEM0000192,RZ3KKD6NB6,17360746
DEM0000193,2DWGWUWVRP,17373916
DEM0000194,6R5B7A36P7,17371986
DEMOG,DEMOG1,14178976
DEM0000179 ,6N4T6GBG5Z,15373796
DEM0000180,SYB98GBR8Z,17202416
DEM0000181,XXVRNZ9Z5Q,16961766
DEM0000182,W9MMNAH3XH,17372376
DEM0000183,GAH6V745ET,16046166
DEM0000184,RJ9WRSKJJP,17356146
DEM0000185,WX4437UDAR,17065366
DEM0000186,BBCQ2BVXGU,17371516
DEM0000187,9YWMH86EAP,17128916
DEM0000188,EYBPG5PHV5,17372566
DEM0000189,EDSGQAHKVV,17373216
DEM0000190,47EZ9VW7EZ,16717986
DEM0000191,79YGMKNKKS,17370206
DEM0000192,RZ3KKD6NB6,17192706
DEM0000193,2DWGWUWVRP,16967986
DEM0000194,6R5B7A36P7,17313916
DEMOG,DEMOG1,17345606
DEM0000179 ,6N4T6GBG5Z,17367856
DEM0000180,SYB98GBR8Z,17350756
DEM0000181,XXVRNZ9Z5Q,17249276
DEM0000182,W9MMNAH3XH,17360446
DEM0000183,GAH6V745ET,17370196
DEM0000184,RJ9WRSKJJP,17368856
DEM0000185,WX4437UDAR,17362496
DEM0000186,BBCQ2BVXGU,17363436
DEM0000187,9YWMH86EAP,17156906
DEM0000188,EYBPG5PHV5,15450166
DEM0000189,EDSGQAHKVV,15328566
DEM0000190,47EZ9VW7EZ,16206876
DEM0000191,79YGMKNKKS,17354486
DEM0000192,RZ3KKD6NB6,17358356
DEM0000193,2DWGWUWVRP,17362646
DEM0000194,6R5B7A36P7,17047266
DEMOG,DEMOG1,17361766
DEM0000179 ,6N4T6GBG5Z,14012016
DEM0000180,SYB98GBR8Z,16824556
DEM0000181,XXVRNZ9Z5Q,17300786
DEM0000182,W9MMNAH3XH,17359476
DEM0000183,GAH6V745ET,17346636
DEM0000184,RJ9WRSKJJP,17138876
DEM0000185,WX4437UDAR,14779066
DEM0000186,BBCQ2BVXGU,16579566
DEM0000187,9YWMH86EAP,16743536
DEM0000188,EYBPG5PHV5,16747736
DEM0000189,EDSGQAHKVV,15865366
DEM0000190,47EZ9VW7EZ,17346646
DEM0000191,79YGMKNKKS,17357136
DEM0000192,RZ3KKD6NB6,15997266
DEM0000193,2DWGWUWVRP,17084526
DEM0000194,6R5B7A36P7,15410366
DEMOG,DEMOG1,17200556
DEM0000179 ,6N4T6GBG5Z,17348106
DEM0000180,SYB98GBR8Z,17354826
DEM0000181,XXVRNZ9Z5Q,17351556
DEM0000182,W9MMNAH3XH,16752616
DEM0000183,GAH6V745ET,17246896
DEM0000184,RJ9WRSKJJP,17349776
DEM0000185,WX4437UDAR,17301476
DEM0000186,BBCQ2BVXGU,17311756
DEM0000187,9YWMH86EAP,17349736
DEM0000188,EYBPG5PHV5,17025116
DEM0000189,EDSGQAHKVV,16327856
DEM0000190,47EZ9VW7EZ,17318576
DEM0000191,79YGMKNKKS,15263436
DEM0000192,RZ3KKD6NB6,17139096
DEM0000193,2DWGWUWVRP,15265496
DEM0000194,6R5B7A36P7,16463266
DEMOG,DEMOG1,16574626
DEM0000179 ,6N4T6GBG5Z,17307736
