LynkUserID,Password,LocState1,Location,LocState2,SellerID
DEMOG,DEMOG1,CALIFORNIA,CA - BAKERSFIELD,CALIFORNIA,"[AAAK] AAA - ALASKA (WALNUT CREEK ,CA)"
DEM0000179 ,6N4T6GBG5Z,CALIFORNIA,CA - FRESNO,CALIFORNIA,"[AAA1] CALIFORNIA STATE AUTO ASN (WALNUT CREEK ,CA)"
DEM0000180,SYB98GBR8Z,CALIFORNIA,CA - HAYWARD,MICHIGAN,"[AAA2] AUTO CLUB GROUP (SOUTHFIELD ,MI)"
DEM0000181,XXVRNZ9Z5Q,CALIFORNIA,CA - LOS ANGELES,TEXAS,"[ARON] COPART AUTO AUCTIONS (DALLAS ,TX)"
DEM0000182,W9MMNAH3XH,CALIFORNIA,CA - SACRAMENTO,INDIANA,"[C046] COPART AUTO AUCTIONS (HAMMOND ,IN)"
DEM0000183,GAH6V745ET,CALIFORNIA,CA - SAN JOSE,WASHINGTON,"[DAA1] DEALERS AUTO AUCTION (SPOKANE ,WA)"
DEM0000184,RJ9WRSKJJP,ILLINOIS,IL - CHICAGO NORTH,CALIFORNIA,"[JST1] JUST TRANSPORTATION (SANTA ROSA ,CA)"
DEM0000185,WX4437UDAR,ILLINOIS,IL - CHICAGO SOUTH,TENNESSEE,"[MAC4] MAZDA AMERICAN CREDIT (FRANKLIN ,TN)"
DEM0000186,BBCQ2BVXGU,ILLINOIS,IL - PEORIA,OKLAHOMA,"[NNF1] N & N AUTO FINANCE (EDMOND ,OK)"
DEM0000187,9YWMH86EAP,ILLINOIS,IL - WHEELING,IOWA,"[NWCP] NATIONWIDE CENTRAL PLAINS (DES MOINES ,IA)"
DEM0000188,EYBPG5PHV5,ARIZONA,AZ - PHOENIX,WISCONSIN,"[QBEC] QBE - CORE - CLAIMS (SUN PRAIRIE ,WI)"
DEM0000189,EDSGQAHKVV,ARIZONA,AZ - TUCSON,WASHINGTON,"[STF5] STATE FARM -FIRE & CASUALTY CO (DUPONT ,WA)"
DEM0000190,47EZ9VW7EZ,FLORIDA,FL - OCALA,CONNECTICUT,"[T668] TRAVELERS CASUALTY AND SURETY (HARTFORD ,CT)"
DEM0000191,79YGMKNKKS,FLORIDA,FL - ORLANDO,CALIFORNIA,"[VPP4] COPART DIRECT- BROOKLYN (FAIRFIELD ,CA)"
DEM0000192,RZ3KKD6NB6,FLORIDA,FL - MIAMI SOUTH,ILLINOIS,"[YAL3] ROYAL AUTO CHICAGO (CHICAGO ,IL)"
DEM0000193,2DWGWUWVRP,FLORIDA,FL - MIAMI NORTH,COLORADO,"[ZBT1] CUBAS TOWING (DENVER ,CO)"
DEM0000194,6R5B7A36P7,NEW YORK,NY - ALBANY,CALIFORNIA,"[AAAK] AAA - ALASKA (WALNUT CREEK ,CA)"
DEMOG,DEMOG1,NEW YORK,NY - LONG ISLAND,CALIFORNIA,"[AAA1] CALIFORNIA STATE AUTO ASN (WALNUT CREEK ,CA)"
DEM0000179 ,6N4T6GBG5Z,NEW YORK,NY - ROCHESTER,MICHIGAN,"[AAA2] AUTO CLUB GROUP (SOUTHFIELD ,MI)"
DEM0000180,SYB98GBR8Z,TEXAS,TX - AUSTIN,TEXAS,"[ARON] COPART AUTO AUCTIONS (DALLAS ,TX)"
DEM0000181,XXVRNZ9Z5Q,TEXAS,TX - DALLAS,INDIANA,"[C046] COPART AUTO AUCTIONS (HAMMOND ,IN)"
DEM0000182,W9MMNAH3XH,TEXAS,TX - HOUSTON,WASHINGTON,"[DAA1] DEALERS AUTO AUCTION (SPOKANE ,WA)"
DEM0000183,GAH6V745ET,TEXAS,TX - SAN ANTONIO,CALIFORNIA,"[JST1] JUST TRANSPORTATION (SANTA ROSA ,CA)"
DEM0000184,RJ9WRSKJJP,CALIFORNIA,CA - BAKERSFIELD,TENNESSEE,"[MAC4] MAZDA AMERICAN CREDIT (FRANKLIN ,TN)"
DEM0000185,WX4437UDAR,CALIFORNIA,CA - FRESNO,OKLAHOMA,"[NNF1] N & N AUTO FINANCE (EDMOND ,OK)"
DEM0000186,BBCQ2BVXGU,CALIFORNIA,CA - HAYWARD,IOWA,"[NWCP] NATIONWIDE CENTRAL PLAINS (DES MOINES ,IA)"
DEM0000187,9YWMH86EAP,CALIFORNIA,CA - LOS ANGELES,WISCONSIN,"[QBEC] QBE - CORE - CLAIMS (SUN PRAIRIE ,WI)"
DEM0000188,EYBPG5PHV5,CALIFORNIA,CA - SACRAMENTO,WASHINGTON,"[STF5] STATE FARM -FIRE & CASUALTY CO (DUPONT ,WA)"
DEM0000189,EDSGQAHKVV,CALIFORNIA,CA - SAN JOSE,CONNECTICUT,"[T668] TRAVELERS CASUALTY AND SURETY (HARTFORD ,CT)"
DEM0000190,47EZ9VW7EZ,ILLINOIS,IL - CHICAGO NORTH,CALIFORNIA,"[VPP4] COPART DIRECT- BROOKLYN (FAIRFIELD ,CA)"
DEM0000191,79YGMKNKKS,ILLINOIS,IL - CHICAGO SOUTH,ILLINOIS,"[YAL3] ROYAL AUTO CHICAGO (CHICAGO ,IL)"
DEM0000192,RZ3KKD6NB6,ILLINOIS,IL - PEORIA,COLORADO,"[ZBT1] CUBAS TOWING (DENVER ,CO)"
